id,day.of.week,num.of.guests,hour,table,dessert
738,Saturday,4,noon,8,TRUE
739,Monday,4,night,7,TRUE
740,Friday,3,evening,9,FALSE
741,Friday,2,evening,7,FALSE
742,Saturday,7,noon,8,FALSE
743,Tuesday,9,night,9,TRUE
744,Thursday,4,evening,8,FALSE
745,Saturday,3,evening,3,FALSE
746,Friday,2,night,3,TRUE
747,Saturday,2,evening,21,FALSE
748,Tuesday,3,night,10,TRUE
749,Monday,1,evening,1,TRUE
750,Friday,3,night,14,FALSE
751,Thursday,3,noon,11,TRUE
752,Tuesday,4,noon,7,TRUE
753,Monday,4,night,10,TRUE
754,Tuesday,4,night,4,TRUE
755,Friday,2,evening,11,FALSE
756,Tuesday,1,noon,2,TRUE
757,Friday,2,evening,12,FALSE
758,Saturday,4,night,9,TRUE
759,Friday,3,noon,21,TRUE
760,Sunday,3,noon,23,FALSE
761,Tuesday,5,evening,8,TRUE
762,Wednesday,2,evening,7,TRUE
763,Friday,3,evening,23,FALSE
764,Monday,5,evening,7,FALSE
765,Friday,4,noon,19,TRUE
766,Friday,3,evening,23,FALSE
767,Friday,4,night,20,FALSE
768,Thursday,4,evening,1,FALSE
769,Wednesday,4,night,1,TRUE
770,Monday,1,night,13,FALSE
771,Wednesday,3,evening,6,TRUE
772,Tuesday,7,noon,18,TRUE
773,Monday,3,evening,13,TRUE
774,Friday,2,evening,8,FALSE
775,Sunday,2,evening,5,FALSE
776,Thursday,6,evening,21,TRUE
777,Saturday,2,evening,4,TRUE
778,Friday,2,evening,19,FALSE
779,Wednesday,2,evening,22,TRUE
780,Friday,4,noon,12,TRUE
781,Sunday,2,night,1,TRUE
782,Monday,4,evening,3,FALSE
783,Wednesday,2,evening,6,TRUE
784,Wednesday,3,evening,15,TRUE
785,Tuesday,3,night,17,TRUE
786,Monday,6,noon,9,TRUE
787,Friday,2,night,10,TRUE
788,Thursday,2,night,5,FALSE
789,Saturday,2,evening,4,FALSE
790,Tuesday,5,noon,13,TRUE
791,Friday,6,evening,22,FALSE
792,Friday,3,noon,17,FALSE
793,Friday,4,after-noon,15,TRUE
794,Sunday,2,evening,11,TRUE
795,Saturday,4,evening,1,TRUE
796,Tuesday,1,night,19,TRUE
797,Thursday,3,noon,8,TRUE
798,Friday,2,noon,1,TRUE
799,Tuesday,2,night,22,FALSE
800,Monday,2,night,18,TRUE
801,Saturday,2,noon,23,TRUE
802,Monday,2,after-noon,1,FALSE
803,Friday,3,noon,18,FALSE
804,Sunday,4,noon,15,TRUE
805,Wednesday,4,evening,12,TRUE
806,Saturday,4,evening,21,TRUE
807,Thursday,3,after-noon,1,FALSE
808,Saturday,2,evening,13,TRUE
809,Sunday,7,evening,22,TRUE
810,Saturday,5,evening,13,TRUE
811,Friday,3,evening,6,FALSE
812,Saturday,2,evening,1,TRUE
813,Saturday,2,evening,16,FALSE
814,Saturday,5,noon,3,FALSE
815,Sunday,2,after-noon,3,FALSE
816,Saturday,4,evening,18,FALSE
817,Tuesday,2,evening,17,TRUE
818,Sunday,5,evening,2,TRUE
819,Monday,8,noon,1,TRUE
820,Saturday,2,evening,11,FALSE
821,Wednesday,4,evening,23,FALSE
822,Saturday,4,night,15,FALSE
823,Tuesday,1,evening,6,FALSE
824,Wednesday,3,noon,9,TRUE
825,Monday,4,noon,18,TRUE
826,Monday,2,evening,5,TRUE
827,Friday,4,noon,1,FALSE
828,Friday,4,night,2,TRUE
829,Saturday,3,after-noon,14,FALSE
830,Saturday,7,evening,14,FALSE
831,Wednesday,5,evening,23,FALSE
832,Wednesday,2,noon,1,TRUE
833,Monday,6,noon,20,FALSE
834,Monday,3,noon,5,TRUE
835,Wednesday,1,evening,16,FALSE
836,Saturday,5,night,11,TRUE
837,Thursday,3,noon,8,TRUE
838,Friday,4,after-noon,4,FALSE
839,Monday,4,after-noon,10,FALSE
840,Sunday,10,after-noon,11,TRUE
841,Tuesday,2,noon,23,FALSE
842,Sunday,5,night,19,FALSE
843,Friday,1,noon,8,FALSE
844,Friday,9,noon,12,TRUE
845,Tuesday,7,noon,7,TRUE
846,Tuesday,4,after-noon,13,FALSE
847,Saturday,2,evening,7,TRUE
848,Friday,2,after-noon,22,FALSE
849,Thursday,3,noon,3,TRUE
850,Wednesday,4,after-noon,11,FALSE
851,Saturday,2,noon,16,TRUE
852,Sunday,2,noon,15,TRUE
853,Wednesday,2,after-noon,14,TRUE
854,Friday,2,evening,1,FALSE
855,Sunday,1,evening,21,FALSE
856,Friday,3,noon,12,FALSE
857,Friday,1,noon,16,FALSE
858,Saturday,1,evening,6,FALSE
859,Wednesday,10,evening,3,FALSE
860,Saturday,4,noon,2,TRUE
861,Friday,4,evening,9,FALSE
862,Friday,5,evening,20,FALSE
863,Saturday,2,evening,13,TRUE
864,Wednesday,1,night,12,TRUE
865,Friday,4,evening,23,TRUE
866,Friday,3,after-noon,20,FALSE
867,Saturday,2,noon,4,TRUE
868,Tuesday,2,night,5,TRUE
869,Thursday,3,evening,10,FALSE
870,Wednesday,3,night,1,TRUE
871,Friday,4,evening,19,TRUE
872,Saturday,9,noon,13,FALSE
873,Sunday,4,night,7,TRUE
874,Monday,4,after-noon,20,TRUE
875,Friday,5,evening,8,FALSE
876,Tuesday,2,noon,23,TRUE
877,Friday,2,noon,6,FALSE
878,Saturday,3,after-noon,19,TRUE
879,Tuesday,2,noon,1,TRUE
880,Wednesday,2,after-noon,20,TRUE
881,Sunday,4,evening,1,FALSE
882,Saturday,3,noon,7,FALSE
883,Sunday,1,night,11,TRUE
884,Sunday,5,evening,15,FALSE
885,Monday,3,noon,3,FALSE
886,Tuesday,1,evening,8,FALSE
887,Wednesday,2,evening,14,TRUE
888,Monday,4,noon,16,TRUE
889,Thursday,2,noon,19,TRUE
890,Thursday,2,evening,3,TRUE
891,Saturday,2,evening,6,FALSE
892,Friday,5,evening,9,TRUE
893,Friday,3,night,11,FALSE
894,Friday,6,noon,2,FALSE
895,Friday,2,noon,6,TRUE
896,Saturday,9,evening,12,TRUE
897,Friday,5,noon,12,TRUE
898,Thursday,3,noon,16,TRUE
899,Friday,2,after-noon,5,FALSE
900,Friday,4,evening,13,FALSE
901,Friday,3,after-noon,6,FALSE
902,Monday,1,evening,7,FALSE
903,Wednesday,2,evening,19,TRUE
904,Saturday,3,noon,10,TRUE
905,Friday,1,noon,7,FALSE
906,Friday,5,noon,2,TRUE
907,Friday,3,evening,19,FALSE
908,Friday,4,noon,10,TRUE
909,Friday,1,noon,14,FALSE
910,Friday,3,noon,1,FALSE
911,Friday,3,noon,7,FALSE
912,Tuesday,4,evening,12,TRUE
913,Wednesday,3,evening,7,TRUE
914,Wednesday,1,noon,23,TRUE
915,Friday,2,evening,15,FALSE
916,Friday,4,after-noon,18,FALSE
917,Tuesday,2,after-noon,6,TRUE
918,Friday,3,night,22,FALSE
919,Wednesday,7,noon,21,FALSE
920,Wednesday,2,after-noon,21,TRUE
921,Monday,2,noon,9,TRUE
922,Saturday,2,evening,9,TRUE
923,Sunday,8,evening,7,FALSE
924,Sunday,3,night,15,TRUE
925,Friday,4,after-noon,9,FALSE
926,Monday,2,noon,1,TRUE
927,Monday,2,night,14,FALSE
928,Wednesday,9,evening,19,TRUE
929,Saturday,5,noon,14,TRUE
930,Tuesday,2,evening,6,TRUE
931,Saturday,1,noon,3,TRUE
932,Thursday,2,after-noon,20,TRUE
933,Sunday,3,night,22,TRUE
934,Saturday,6,evening,1,TRUE
935,Saturday,4,noon,1,TRUE
936,Wednesday,2,night,21,TRUE
937,Wednesday,7,noon,9,TRUE
938,Sunday,5,evening,8,FALSE
939,Tuesday,2,evening,21,TRUE
940,Monday,3,evening,22,FALSE
941,Saturday,3,noon,12,FALSE
942,Friday,4,evening,12,FALSE
943,Sunday,5,after-noon,5,FALSE
944,Friday,1,evening,7,FALSE
945,Saturday,2,noon,9,TRUE
946,Tuesday,2,evening,16,TRUE
947,Saturday,2,evening,4,FALSE
948,Thursday,2,noon,11,FALSE
949,Wednesday,6,night,20,TRUE
950,Monday,2,night,7,FALSE
951,Monday,2,night,18,TRUE
952,Friday,2,evening,5,FALSE
953,Friday,2,noon,9,TRUE
954,Thursday,4,after-noon,23,FALSE
955,Monday,3,noon,4,TRUE
956,Thursday,4,noon,4,TRUE
957,Saturday,2,night,4,FALSE
958,Monday,10,evening,17,TRUE
959,Friday,2,evening,21,FALSE
960,Tuesday,4,evening,10,FALSE
961,Friday,2,evening,19,FALSE
962,Saturday,4,evening,4,FALSE
963,Tuesday,2,night,1,TRUE
964,Friday,4,evening,2,FALSE
965,Thursday,1,noon,12,TRUE
966,Saturday,3,noon,11,TRUE
967,Friday,4,night,23,FALSE
968,Saturday,5,noon,2,TRUE
969,Monday,2,evening,4,TRUE
970,Sunday,4,night,2,TRUE
971,Wednesday,8,evening,1,TRUE
972,Sunday,4,night,18,FALSE
973,Tuesday,6,evening,1,TRUE
974,Saturday,2,night,10,TRUE
975,Sunday,2,night,10,TRUE
976,Friday,3,noon,23,FALSE
977,Friday,3,night,6,FALSE
978,Friday,5,evening,17,FALSE
979,Thursday,2,evening,19,TRUE
980,Wednesday,5,noon,22,TRUE
981,Monday,1,noon,3,TRUE
982,Friday,3,noon,16,TRUE
983,Friday,5,evening,7,TRUE
984,Sunday,2,evening,19,TRUE
985,Saturday,3,night,20,TRUE
986,Friday,9,evening,16,FALSE
987,Tuesday,3,evening,10,TRUE
988,Tuesday,1,night,8,TRUE
989,Saturday,4,noon,7,TRUE
990,Sunday,4,after-noon,19,FALSE
991,Tuesday,1,night,12,FALSE
992,Friday,3,noon,12,TRUE
993,Saturday,2,noon,9,TRUE
994,Thursday,2,evening,20,TRUE
995,Friday,1,noon,8,FALSE
996,Friday,3,after-noon,5,FALSE
997,Wednesday,5,evening,14,TRUE
998,Thursday,2,evening,20,TRUE
999,Saturday,2,evening,3,TRUE
1000,Friday,2,evening,9,FALSE
